struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
16,33,63,J62,71,100.0,5.292355314264722
16,41,63,J62,71,100.0,5.292355314264722
16,22,63,J62,78,100.0,5.4724165004984044
16,40,63,J62,78,100.0,5.4724165004984044
16,20,63,J62,71,100.0,21.295223040390585
16,30,63,J62,71,100.0,21.295223040390585
16,14,63,J62,76,100.0,44.526510152529305
16,12,63,J62,71,100.0,57.913777877887696
16,42,63,J62,78,100.0,63.098086022789424
16,11,63,J62,78,100.0,109.09075007006429
16,18,63,J62,78,100.0,149.65657760655685
16,27,60,J59,77,100.0,1.6304354657033875
16,37,60,J59,77,100.0,1.6304354657033875
16,13,60,J59,76,100.0,50.00759040267294
14,19,54,J53,78,100.0,3.0659001756611475
14,30,54,J53,78,100.0,3.0659001756611475
14,32,54,J53,78,100.0,3.0659001756611475
14,37,54,J53,78,100.0,3.0659001756611475
14,20,54,J53,78,100.0,6.626407553312542
14,36,54,J53,78,100.0,6.626407553312542
14,29,54,J53,77,100.0,39.35561167281219
14,16,54,J53,77,100.0,98.97034443985622
15,18,54,J53,78,100.0,5.292355314264722
15,34,54,J53,78,100.0,5.292355314264722
15,16,54,J53,78,100.0,13.257569877072541
15,25,54,J53,78,100.0,13.257569877072541
15,21,54,J53,74,100.0,45.7256701239884
15,12,54,J53,70,100.0,48.15320083966687
15,13,54,J53,73,100.0,48.15320083966687
15,37,54,J53,70,100.0,48.28286322787366
15,10,54,J53,77,100.0,88.90798453630835
15,14,54,J53,77,100.0,127.45294071719911
16,21,54,J53,78,100.0,8.013336816094542
16,36,54,J53,78,100.0,8.013336816094542
16,28,49,J48,50,100.0,13.496113242238748
16,38,49,J48,50,100.0,13.496113242238748
14,47,47,J46,47,100.0,12.856050119179846
14,48,47,J46,47,100.0,12.856050119179846
14,31,46,J45,46,100.0,15.257435538184291
14,42,46,J45,46,100.0,15.257435538184291
14,21,46,J45,46,100.0,16.78670120904698
14,41,46,J45,46,100.0,16.78670120904698
