struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
14,19,200,J199,200,100.0,3.0499654485992562
14,32,200,J199,200,100.0,3.0499654485992562
14,20,200,J199,200,100.0,6.591967424895741
14,36,200,J199,200,100.0,6.591967424895741
15,23,200,J199,200,100.0,3.423232941914223
15,30,200,J199,200,100.0,3.423232941914223
15,18,200,J199,200,100.0,5.2648487965650235
15,34,200,J199,200,100.0,5.2648487965650235
15,16,200,J199,200,100.0,13.188664907767887
15,25,200,J199,200,100.0,13.188664907767887
16,27,200,J199,200,100.0,1.6219614311133963
16,37,200,J199,200,100.0,1.6219614311133963
16,22,200,J199,200,100.0,5.443974131762243
16,40,200,J199,200,100.0,5.443974131762243
16,21,200,J199,200,100.0,7.971688253615852
16,36,200,J199,200,100.0,7.971688253615852
16,23,200,J199,200,100.0,13.188664907767887
16,34,197,J196,200,100.0,3.423232941914223
13,15,196,J195,200,100.0,0.5144972263200828
13,18,196,J195,200,100.0,0.5144972263200828
13,14,196,J195,200,100.0,6.591967424895741
13,19,196,J195,200,100.0,6.591967424895741
14,30,196,J195,200,100.0,3.0499654485992562
14,37,196,J195,200,100.0,3.0499654485992562
13,10,191,J190,200,100.0,31.609230322756805
13,11,191,J190,200,100.0,35.20886810578285
13,9,191,J190,200,100.0,63.31628871349682
13,12,191,J190,200,100.0,78.23846804173205
14,11,191,J190,200,100.0,35.20886810578285
14,29,191,J190,200,100.0,39.1510645922065
14,10,191,J190,200,100.0,69.39498676376103
14,16,191,J190,200,100.0,98.45595540710502
15,13,191,J190,200,100.0,47.90292911894102
15,10,191,J190,200,100.0,88.4458936703188
15,14,191,J190,200,100.0,126.7905160760818
16,14,191,J190,200,100.0,44.29508781466862
16,13,191,J190,200,100.0,49.74768066705426
16,12,191,J190,200,100.0,57.61277647838583
16,42,191,J190,200,100.0,62.77013967056225
16,11,191,J190,200,100.0,108.52376118336042
16,18,191,J190,200,100.0,148.87875165641395
15,21,172,J171,200,100.0,45.48801526525165
15,37,172,J171,200,100.0,48.0319175991117
16,58,172,J171,200,100.0,17.03437281887651
14,12,170,J169,200,100.0,41.50457808894985
12,14,166,J165,200,100.0,65.36963557828393
16,56,160,J159,191,100.0,47.46417218304121
16,33,156,J155,200,100.0,5.2648487965650235
16,41,156,J155,200,100.0,5.2648487965650235
16,20,156,J155,200,100.0,21.184543126685465
16,30,156,J155,200,100.0,21.184543126685465
12,16,151,J150,200,100.0,3.9634722397650335
12,26,151,J150,200,100.0,3.9634722397650335
12,9,148,J147,196,100.0,46.07712203621398
15,12,148,J147,200,100.0,47.90292911894102
15,11,139,J138,200,100.0,47.90292911894102
10,8,134,J133,200,100.0,26.180671538325765
10,12,134,J133,200,100.0,36.064016616427104
